
fecha	cp	minsplit	minbucket	maxdepth	prob_corte	xval_folds	ganancia	iteracion
20230512 020134	-0.116671666239854	11908.3521720086	1885.0963685752	6	0.0505287641079631	5	43851000	1
20230512 020146	-0.177622030572966	12848.9881667507	3725.56380632911	20	0.0316168073316803	5	36492000	2
20230512 020157	-0.574559528139653	10483.1931362634	1406.16565808484	7	0.0263153313220246	5	44310000	3
20230512 020208	-0.462207979765954	15058.2287391559	739.950581768865	9	0.0889687610584078	5	37347000	4
20230512 020219	-0.240954321643803	13737.6658279141	4147.42668587728	11	0.0932735858320957	5	37347000	5
20230512 020228	-0.692882121977163	8543.97630094801	2077.81499506296	4	0.075139785329462	5	49410000	6
20230512 020242	-0.813624865167076	9821.8010761469	2370.89621682424	15	0.0205342237272998	5	36720000	7
20230512 020254	-0.532835936039919	17051.9951819139	3138.15856865549	18	0.064959164617816	5	37347000	8
20230512 020308	-0.286866316264495	14848.5464694766	753.942495674512	13	0.0465840691503836	5	37428000	9
20230512 020324	-0.990544583857991	19414.9174852753	260.14433777316	19	0.0577626209192677	5	37347000	10
20230512 020331	-0.0448476902337279	16268.9920039684	3810.82792839046	3	0.0601327950499253	5	37347000	11
20230512 020340	-0.937051410956774	7988.97090177804	49.6340155107551	4	0.0418581354365451	5	50109000	12
20230512 020351	-0.774953713176074	18060.9435387947	4597.43749128781	9	0.0136563913335558	5	12483000	13
20230512 020401	-0.543497870263776	9584.93130333652	2514.96229360781	6	0.0776185138423794	5	46209000	14
20230512 020413	-0.940827768319286	18764.2172108411	3066.98103201329	11	0.0156353671689119	5	7779000	15
20230512 020425	-0.250031376018056	15170.1328466232	1887.39458524043	9	0.0361821863870136	5	38727000	16
20230512 020436	-0.416977879830769	12649.0060163564	4641.55073926741	16	0.0967808162218093	5	38295000	17
20230512 020454	-0.83430135018924	4403.93787057558	191.147192913241	19	0.0315816276696777	5	47727000	18
20230512 020509	-0.0388978818265189	5833.75703102397	718.218893378541	14	0.0588654612320741	5	50145000	19
20230512 020522	-0.767437143740244	14885.9571309895	844.341607870767	14	0.065623436330352	5	37347000	20
20230512 020531	-0.282404457772064	4984.23746719306	1593.60656723068	3	0.0376224876622541	5	49623000	21
20230512 020543	-0.853594131091258	4142.48168644701	1075.36305483092	6	0.0628204109078615	5	49614000	22
20230512 020554	0.0120539762759272	7738.57881598192	4.34086456685103	6	0.0352901742666349	5	0	23
20230512 020609	-0.303447780298362	4031.19693872725	1999.03783680717	8	0.0567835057904695	5	50970000	24
20230512 020626	-0.27947922911557	5548.12623555045	1222.62863082174	14	0.0610434305117554	5	48213000	25
20230512 020636	-0.619729982124674	4108.10473322331	2042.20529819246	3	0.0405880292387879	5	49989000	26
20230512 020652	-0.107435969655854	3874.59068558574	1915.91236790911	17	0.0594614187527826	5	50028000	27
20230512 020702	-0.373771636570097	4938.6927147023	2462.30884113682	3	0.0417105530126536	5	49623000	28
20230512 020711	-0.845815822945352	2252.89367085475	1114.46290917562	3	0.0488198249757518	5	51414000	29
20230512 020720	-0.198139559697716	2882.82975864889	1328.68793838936	3	0.0596097029583131	5	50391000	30
20230512 020731	-0.790198796945072	1647.10977411786	802.981753699186	4	0.0359820433580007	5	51897000	31
20230512 020749	-0.0321481137465158	3145.67775044018	873.368391156413	20	0.0838550797731788	5	46083000	32
20230512 020805	-0.0424351648058931	5773.05945385785	1186.77294139219	11	0.0697198452812791	5	48390000	33
20230512 020815	-0.928560499210158	5492.37359939583	654.689509164209	4	0.0449526567730292	5	50775000	34
20230512 020825	-0.660733980364387	1124.68830223	522.038913226898	3	0.0562754857262222	5	50544000	35
20230512 020835	-0.891270108066747	279.759830055408	126.89392081859	3	0.0775735937931046	5	46002000	36
20230512 020844	-0.995611119871978	173.235849587227	2.50967300836671	3	0.0544740084124411	5	50646000	37
20230512 020854	-0.998709703885887	6067.22297809326	3023.81961767244	3	0.0751021796820682	5	50130000	38
20230512 020904	-0.300508775617247	3250.03434052249	1593.93883768556	3	0.0516669026887518	5	50391000	39
20230512 020919	-0.820829559538426	203.897804372635	49.6833833510446	8	0.0425776190333325	5	55116000	40
20230512 020937	-0.697409418689674	1572.65517782958	784.135616926425	12	0.0401237850953685	5	49710000	41
20230512 020946	-0.823384549226154	6871.28734458749	3432.17983293722	3	0.088605511205472	5	37572000	42
20230512 020956	-0.861155078447016	13.2551881114715	2.57467158124058	3	0.0424920586816563	5	50646000	43
20230512 021010	-0.79818194215008	4321.40646086212	5.18514806378769	8	0.0484148504427844	5	51537000	44
20230512 021028	-0.998864497774528	33.3916890469604	4.71688728626696	11	0.0417603180741857	5	53886000	45
20230512 021043	-0.834125668241989	2789.9601602873	1382.65231514318	9	0.0397310108737458	5	50784000	46
20230512 021100	-0.795999547721964	13.4970207978485	1.33358708617987	10	0.0253065850076399	5	48234000	47
20230512 021123	-0.930206244573781	8.34103819431969	3.38773037775814	15	0.0472470601380161	5	37725000	48
20230512 021132	-0.999461030270734	14980.127204002	1180.90986342331	3	0.0703510140823359	5	37347000	49
20230512 021231	-0.739493250563152	45.2796439195111	13.2361590600662	7	0.0400492347839419	5	52917000	50
20230512 021250	-0.998829333360151	406.589164123734	200.419237590523	8	0.0401604366539298	5	53775000	51
20230512 021300	0.0996353783922919	2802.62216573191	1389.76476371327	15	0.0710422868801323	5	0	52
20230512 021315	-0.94588595528606	2281.7814961762	982.176823380088	7	0.0734421954168026	5	46929000	53
20230512 021332	-0.300123730901656	6390.46731579628	470.178591208906	13	0.0494148912189273	5	49968000	54
20230512 021345	-0.996453452786488	11487.7108972683	3287.03108638448	7	0.0725850351915721	5	49524000	55
20230512 021357	-0.996716077018906	3185.54748558621	1580.36829145289	5	0.0711378453053923	5	46404000	56
20230512 021414	-0.193574612748984	5964.07926558659	1552.460497206	17	0.0478782074324815	5	48999000	57
20230512 021424	-0.999234595703839	10714.2535606591	2452.82312720305	5	0.0698095770994008	5	49524000	58
20230512 021440	-0.333118349831679	4229.66861652565	1965.33915591274	18	0.0572623294379187	5	48246000	59
20230512 021457	-0.42701187320124	31.4402440016145	3.12326763613812	9	0.0571264942604975	5	51975000	60
20230512 021512	-0.0394858301134395	838.032012797834	5.65508808555446	8	0.0470810123760829	5	54621000	61
20230512 021528	-0.994731663981031	3130.93563657881	29.7128871663098	11	0.0481360831536841	5	49746000	62
20230512 021537	-0.998263259835597	5887.76826911602	411.87476026323	3	0.0588764937553161	5	49524000	63
20230512 021547	-0.979111825637422	9925.72202938588	4249.15028083008	4	0.0475014043701098	5	49524000	64
20230512 021608	-0.97026326887193	3983.63214704234	16.2842130652465	17	0.0193974014351536	5	35481000	65
20230512 021623	-0.692806004923357	1426.99321819904	7.79522511664791	8	0.0534547370845785	5	52668000	66
20230512 021641	-0.389464764488329	315.337650629714	144.529520304468	11	0.0606600801633584	5	53604000	67
20230512 021658	-0.448218877956222	7576.405307059	120.081553338425	14	0.0502137151017452	5	50064000	68
20230512 021709	0.0755491567119242	742.743633899817	233.891262012986	11	0.0405792403149484	5	0	69
20230512 021730	-0.0705440063498461	27.4387821947354	1.8978114318226	13	0.0520988640569501	5	47289000	70
20230512 021754	-0.400172089616118	48.2057862400117	19.8648769697555	15	0.0123713738998166	5	36897000	71
20230512 021808	-0.600695051171756	32.1137355630509	9.94267262973152	7	0.0803895185650423	5	48888000	72
20230512 021826	-0.232985191842647	56.1493368600891	20.4381998527402	9	0.0484249125094479	5	51672000	73
20230512 021841	-0.352081684057518	41.7410860999057	9.43981418681523	7	0.0792753945150773	5	49308000	74
20230512 021905	-0.158447078433057	281.986485310382	121.93958024991	19	0.0881098253183081	5	53742000	75
20230512 021915	-0.720972170340401	205.391570136618	29.7280255072196	3	0.065188523968654	5	49086000	76
